Plaatsnaam	Bedrijfsnaam	Winkelnaam	Straatnaam	Huisnummer	Huisnummer toevoeging
Hannut	Lidl	Hannut	Rue de l'Europe	8	
					
Saint-Vith	Lidl	Saint-Vith-Luxemburger Strasse 54	Luxemburger Strasse	54	
					
Seraing	Lidl	Seraing	Rue Puits Marie	60	
					
Eupen	Lidl	Eupen-Rue de Herbesthal	Rue de Herbesthal	145 + 147	
					
Jambes (Namur)	Lidl	Jambes	Rue Major Mascaux	230	
					
Beauraing	Lidl	Beauraing	Rue de Rochefort	69	
					
Dinant	Lidl	Dinant	Rue Saint-Jacques	361	
					
Ciney	Lidl	Ciney	Chemin du Tersoit	18	
					
Andenne	Lidl	Andenne	Av. Reine Elisabeth	148	
					
Auvelais (Sambreville)	Lidl	Auvelais	Rue d' Eghezée	24	b
					
Namur	Lidl	Belgrade	Rue Durieux	9	
					
Couvin	Lidl	Couvin	Route de Charlemagne	21	5
					
Jemeppe-sur-Sambre	Lidl	Jemeppe-sur-Sambre	Rue Fr. Hittelet	145	
					
Floreffe	Lidl	Floreffe	Rue Riverre	112	
					
Gembloux	Lidl	Gembloux	Campagne d'Enée	5	
					
Rochefort	Lidl	Rochefort	Rue de Dinant	5	
					
Eghezée	Lidl	Eghezée	Chaussée de Namur	75-79	
					
Florennes	Lidl	Florennes-Rue de Mettet	Rue de Mettet		
					
Libramont	Lidl	Libramont	Rue sur le Chêne	3	
					
Neufchâteau	Lidl	Neufchâteau	Chaussée de Recogne	14	
					
Arlon	Lidl	Arlon	Rue de l'Abattoir	3	
					
Saint-Hubert	Lidl	Saint-Hubert	Avenue Nestor Martin	111	
					
Virton	Lidl	Virton	Val d' Away	12	
					
Marche-en-Famenne	Lidl	Marche-en-Famenne	Rue du Parc Industriel	10	A
					
Athus	Lidl	Athus	Rue du Commerce	14	
					
Jumet (Charleroi)	Lidl	Jumet	Chaussée de Bruxelles	342	
					
Couillet (Charleroi)	Lidl	Couillet	Chaussée de Philippeville	23	
					
Manage	Lidl	Manage	Chaussée de Nivelles	10	
					
Monceau-sur-Sambre	Lidl	Monceau-sur-Sambre	Rue des Déportés	25	
					
Mons	Lidl	Mons - Chée. du Roeulx	Chaussée du Roeulx	176	
					
Gilly (Charleroi)	Lidl	Gilly	Chaussée de Lodelinsart	332	
					
Boussu	Lidl	Boussu	Rue de Valenciennes	489	
					
Morlanwelz	Lidl	Morlanwelz	Chaussée Brunehault	260	
					
Beaumont	Lidl	Beaumont	Rue Germain Michiels	17	
					
Soignies	Lidl	Soignies	Rue de la Senne	41	
					
La Louvière	Lidl	La Louvière	rue de l'Olive	28	
					
Frameries	Lidl	Frameries	rue J. Dufrane	74	
					
Péruwelz	Lidl	Péruwelz	Neuve Chaussée	137	
					
Lessines	Lidl	Lessines	Chaussée de Grammont	66	
					
Tournai	Lidl	Tournai - Chée. de Bruxelles	Chaussée de Bruxelles	376	
					
Bouffioulx	Lidl	Bouffioulx	Avenue E. Vandervelde	215	
					
Erquelinnes	Lidl	Erquelinnes	Route de Mons	240	
					
Tertre	Lidl	Tertre	Route de Tournai	27	
					
Leuze-en-Hainaut	Lidl	Leuze-en-Hainaut	Rue de Tournai	75	
					
Fontaine-l' Evêque	Lidl	Fontaine-l' Evêque	Route de Mons	253	
					
Bernissart	Lidl	Blaton	Avenue de l' Europe	56	
					
Roux (Charleroi)	Lidl	Roux	Rue de Marchiennes	20	
					
Dottignies	Lidl	Dottignies	Bd. des Canadiens	49	
					
Pont-à-Celles	Lidl	Pont-à-Celles	Rue de Liberchies	133	
					
Châtelineau	Lidl	Châtelineau	Rue Sart Allet	115	
					
Mouscron	Lidl	Mouscron- Risquons-Tout	Avenue Vandevelde	24	
					
Marcinelle (Charleroi)	Lidl	Marcinelle	Avenue E. Mascaux	244-248	
					
Froyennes	Lidl	Froyennes	Rue de Maire	30	
					
Ransart (Charleroi)	Lidl	Ransart	Rue Masses Diarbois	81	
					
Fayt-lez-Manage	Lidl	Fayt-lez-Manage	Avenue E. Herman	322	
					
Braine-le-Comte	Lidl	Braine-le-Comte	Chaussée de Bruxelles	114	
					
Mons (Hyon)	Lidl	Hyon	Avenue du Bélian	17	
					
Jurbise	Lidl	Jurbise	Route d' Ath	246-248	
					
Tournai	Lidl	Tournai - Douai	Chaussée de Douai	140	
					
Farciennes	Lidl	Farciennes	Rue Saint-François	1	
					
Thuin	Lidl	Thuin	Rue d' Anderlues	110	
					
Chapelle-lez-Herlaimont	Lidl	Chapelle-lez-Herlaimont	Rue des Bureaux	3	
